2026-05-23 07:35:18,287 | DEBUG    | market_data.transformation | transform       | Transforming INOXINDIA
2026-05-23 07:35:18,287 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [INOXINDIA]
2026-05-23 07:35:18,287 | INFO     | market_data.signals  | generate_signal | [INOXINDIA] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,287 | INFO     | market_data.processor | process         | ✓ INOXINDIA complete
2026-05-23 07:35:18,287 | INFO     | market_data.processor | process         | Progress: 47/97 (48.5%) - Current: INTERARCH
2026-05-23 07:35:18,287 | DEBUG    | market_data.transformation | transform       | Transforming INTERARCH
2026-05-23 07:35:18,287 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [INTERARCH]
2026-05-23 07:35:18,287 | INFO     | market_data.signals  | generate_signal | [INTERARCH] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,287 | INFO     | market_data.processor | process         | ✓ INTERARCH complete
2026-05-23 07:35:18,287 | INFO     | market_data.processor | process         | Progress: 48/97 (49.5%) - Current: IOC
2026-05-23 07:35:18,287 | DEBUG    | market_data.transformation | transform       | Transforming IOC
2026-05-23 07:35:18,287 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [IOC]
2026-05-23 07:35:18,287 | INFO     | market_data.signals  | generate_signal | [IOC] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,288 | INFO     | market_data.processor | process         | ✓ IOC complete
2026-05-23 07:35:18,288 | INFO     | market_data.processor | process         | Progress: 49/97 (50.5%) - Current: ITC
2026-05-23 07:35:18,288 | DEBUG    | market_data.transformation | transform       | Transforming ITC
2026-05-23 07:35:18,288 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [ITC]
2026-05-23 07:35:18,288 | INFO     | market_data.signals  | generate_signal | [ITC] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,288 | INFO     | market_data.processor | process         | ✓ ITC complete
2026-05-23 07:35:18,288 | INFO     | market_data.processor | process         | Progress: 50/97 (51.5%) - Current: JUNIORBEES
2026-05-23 07:35:18,288 | DEBUG    | market_data.transformation | transform       | Transforming JUNIORBEES
