2026-05-17 02:00:53 | STEP1-FETCH | INFO     |   [CapEx Screener] S&SPOWER: trying https://www.screener.in/api/v2/companies/s&spower/financials/cash-flow/
2026-05-17 02:00:54 | STEP1-FETCH | INFO     |   [CapEx Screener] S&SPOWER: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:54 | STEP1-FETCH | INFO     |   [CapEx Screener] SAGILITY: trying https://www.screener.in/api/v2/companies/sagility/financials/cash-flow/
2026-05-17 02:00:55 | STEP1-FETCH | INFO     |   [CapEx Screener] SAGILITY: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:55 | STEP1-FETCH | INFO     |   [CapEx Screener] SANDUMA: trying https://www.screener.in/api/v2/companies/sanduma/financials/cash-flow/
2026-05-17 02:00:56 | STEP1-FETCH | INFO     |   [CapEx Screener] SANDUMA: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:57 | STEP1-FETCH | INFO     |   [CapEx Screener] SBIN: trying https://www.screener.in/api/v2/companies/sbin/financials/cash-flow/
2026-05-17 02:00:57 | STEP1-FETCH | INFO     |   [CapEx Screener] SBIN: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:58 | STEP1-FETCH | INFO     |   [CapEx Screener] SHILCHAR: trying https://www.screener.in/api/v2/companies/shilctech/financials/cash-flow/
2026-05-17 02:00:58 | STEP1-FETCH | INFO     |   [CapEx Screener] SHILCHAR: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:59 | STEP1-FETCH | INFO     |   Progress: 80/97...
2026-05-17 02:01:00 | STEP1-FETCH | INFO     |   [CapEx Screener] SIKA: trying https://www.screener.in/api/v2/companies/sika/financials/cash-flow/
2026-05-17 02:01:00 | STEP1-FETCH | INFO     |   [CapEx Screener] SIKA: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:01 | STEP1-FETCH | INFO     |   [CapEx Screener] SKMEGGPROD: trying https://www.screener.in/api/v2/companies/skmeggprod/financials/cash-flow/
2026-05-17 02:01:01 | STEP1-FETCH | INFO     |   [CapEx Screener] SKMEGGPROD: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:02 | STEP1-FETCH | INFO     |   [CapEx Screener] SUNFLAG: trying https://www.screener.in/api/v2/companies/sunflag/financials/cash-flow/
2026-05-17 02:01:02 | STEP1-FETCH | INFO     |   [CapEx Screener] SUNFLAG: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:03 | STEP1-FETCH | INFO     |   [CapEx Screener] SUPRIYA: trying https://www.screener.in/api/v2/companies/supriya/financials/cash-flow/
2026-05-17 02:01:04 | STEP1-FETCH | INFO     |   [CapEx Screener] SUPRIYA: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:04 | STEP1-FETCH | INFO     |   [CapEx Screener] SUYOG: trying https://www.screener.in/api/v2/companies/suyog/financials/cash-flow/
2026-05-17 02:01:05 | STEP1-FETCH | INFO     |   [CapEx Screener] SUYOG: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:05 | STEP1-FETCH | INFO     |   [CapEx Screener] SUZLON: trying https://www.screener.in/api/v2/companies/suzlon/financials/cash-flow/
2026-05-17 02:01:06 | STEP1-FETCH | INFO     |   [CapEx Screener] SUZLON: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:07 | STEP1-FETCH | INFO     |   [CapEx Screener] TATAPOWER: trying https://www.screener.in/api/v2/companies/tatapower/financials/cash-flow/
2026-05-17 02:01:07 | STEP1-FETCH | INFO     |   [CapEx Screener] TATAPOWER: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:08 | STEP1-FETCH | INFO     |   [CapEx Screener] TDPOWERSYS: trying https://www.screener.in/api/v2/companies/tdpowersys/financials/cash-flow/
2026-05-17 02:01:08 | STEP1-FETCH | INFO     |   [CapEx Screener] TDPOWERSYS: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:09 | STEP1-FETCH | INFO     |   [CapEx Screener] TITANBIO: trying https://www.screener.in/api/v2/companies/titanbio/financials/cash-flow/
2026-05-17 02:01:10 | STEP1-FETCH | INFO     |   [CapEx Screener] TITANBIO: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:01:10 | STEP1-FETCH | INFO     |   [CapEx Screener] TRUALT: trying https://www.screener.in/api/v2/companies/trualt/financials/cash-flow/
2026-05-17 02:01:11 | STEP1-FETCH | INFO     |   [CapEx Screener] TRUALT: request failed - 404 Client Error: Not Found for url: https://www.screener.in
